,name,Component,price,type,form_factor,speed,modules,price_per_gb,color,first_word_latency,cas_latency,capacity,cache,interface,mode,max_memory,channels,digital_audio,snr,sample_rate,chipset,Unnamed: 0,bd,dvd,cd,bd_write,dvd_write,cd_write,rpm,noise_level,size,screen_size,resolution,refresh_rate,response_time,panel_type,aspect_ratio,tracking_method,connection_type,max_dpi,hand_orientation,capacity_w,capacity_va,efficiency,wattage,modular,airflow,pwm,channel_wattage,configuration,frequency_response,amount,socket,memory_slots,core_count,core_clock,boost_clock,tdp,graphics,smt,microphone,wireless,enclosure_type,style,switches,backlit,tenkeyless,protocol,psu,side_panel,external_volume,internal_35_bays,memory,length,resolutions,connection,focus_type,os,fov
14626,Dell 342-3520,internal-hard-drive,139.99,7200,2.5,,,0.14,,,,1000.0,,SAS 3.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14629,Western Digital Black,internal-hard-drive,291.95,7200,3.5,,,0.049,,,,6000.0,128.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14631,Toshiba P300,internal-hard-drive,60.89,7200,3.5,,,0.122,,,,500.0,64.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14634,Kingston SSDNow KC400,internal-hard-drive,74.98,SSD,2.5,,,0.586,,,,128.0,,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14639,Crucial BX300,internal-hard-drive,74.98,SSD,2.5,,,0.156,,,,480.0,,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14642,Mushkin PILOT,internal-hard-drive,165.99,SSD,M.2-2280,,,0.166,,,,1000.0,,M.2 PCIe 3.0 X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14643,Seagate Enterprise Capacity,internal-hard-drive,125.0,7200,3.5,,,0.062,,,,2000.0,128.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14647,Seagate SkyHawk AI,internal-hard-drive,279.99,7200,3.5,,,0.023,,,,12000.0,256.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14648,Intel 660p,internal-hard-drive,86.99,SSD,M.2-2280,,,0.17,,,,512.0,,M.2 PCIe 3.0 X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14653,Intel DC P4510,internal-hard-drive,1750.0,SSD,2.5,,,0.438,,,,4000.0,,U.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14657,Seagate FireCuda 510,internal-hard-drive,68.98,SSD,M.2-2280,,,0.276,,,,250.0,,M.2 PCIe 3.0 X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14664,Intel D3-S4520,internal-hard-drive,413.35,SSD,2.5,,,0.108,,,,3840.0,,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14665,Transcend SSD230S,internal-hard-drive,94.27,SSD,2.5,,,0.094,,,,1000.0,,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14666,Transcend MTE245S,internal-hard-drive,67.14,SSD,M.2-2280,,,0.067,,,,1000.0,,M.2 PCIe 4.0 X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14667,Toshiba N300,internal-hard-drive,384.53,7200,3.5,,,0.024,,,,16000.0,,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14668,Western Digital Purple,internal-hard-drive,68.98,5400,3.5,,,0.034,,,,2000.0,,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14669,Transcend MTS800,internal-hard-drive,51.71,SSD,M.2-2280,,,0.808,,,,64.0,,M.2 SATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14670,Seagate ST6000NM0014,internal-hard-drive,125.0,7200,3.5,,,0.021,,,,6000.0,128.0,SAS 12.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14672,HP 2DP97AA#ABC,internal-hard-drive,29.99,SSD,2.5,,,0.25,,,,120.0,,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14673,Western Digital RE,internal-hard-drive,79.95,7200,3.5,,,0.04,,,,2000.0,128.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14674,Seagate SkyHawk Surveillance,internal-hard-drive,294.99,7200,3.5,,,0.029,,,,10000.0,256.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14675,Toshiba N300 Pro,internal-hard-drive,308.99,7200,3.5,,,0.019,,,,16000.0,512.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14676,Toshiba N300,internal-hard-drive,270.27,7200,3.5,,,0.027,,,,10000.0,,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14677,Lenovo ThinkPad OPAL,internal-hard-drive,129.0,SSD,M.2-2242,,,0.252,,,,512.0,,M.2 PCIe 4.0 X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14678,PNY Optima,internal-hard-drive,188.88,SSD,2.5,,,0.787,,,,240.0,,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14681,Seagate SkyHawk Surveillance,internal-hard-drive,144.0,5400,3.5,,,0.024,,,,6000.0,256.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14682,PNY XLR8 CS3040 w/Heatsink,internal-hard-drive,243.97,SSD,M.2-2280,,,0.244,,,,1000.0,,M.2 PCIe 4.0 X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14684,Seagate Constellation ES,internal-hard-drive,94.0,7200,3.5,,,0.094,,,,1000.0,32.0,SATA 3.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14685,Hitachi 0J11561,internal-hard-drive,29.99,5400,2.5,,,0.06,,,,500.0,8.0,SATA 3.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14688,Transcend SSD370,internal-hard-drive,201.46,SSD,2.5,,,0.393,,,,512.0,,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14689,Samsung Data Center,internal-hard-drive,109.0,SSD,2.5,,,0.454,,,,240.0,,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14690,Hitachi Ultrastar 7K6000,internal-hard-drive,646.54,7200,3.5,,,0.108,,,,6000.0,128.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14691,Seagate BarraCuda Pro,internal-hard-drive,263.98,7200,3.5,,,0.033,,,,8000.0,256.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14693,Seagate Enterprise Capacity,internal-hard-drive,236.52,7200,3.5,,,0.059,,,,4000.0,128.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14695,Seagate SkyHawk AI,internal-hard-drive,451.95,7200,3.5,,,0.032,,,,14000.0,256.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14696,Hitachi Ultrastar He10,internal-hard-drive,325.0,7200,3.5,,,0.041,,,,8000.0,256.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14699,VisionTek DLX3,internal-hard-drive,49.96,SSD,M.2-2280,,,0.098,,,,512.0,,M.2 PCIe 3.0 X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14700,Western Digital Caviar Green,internal-hard-drive,149.94,5400,3.5,,,0.1,,,,1500.0,32.0,SATA 3.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14702,Western Digital AV-GP,internal-hard-drive,28.99,5400,3.5,,,0.058,,,,500.0,8.0,SATA 3.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14708,Seagate SV35.5,internal-hard-drive,162.83,7200,3.5,,,0.081,,,,2000.0,64.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14713,Western Digital SE,internal-hard-drive,176.79,7200,3.5,,,0.044,,,,4000.0,64.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14715,Western Digital RE,internal-hard-drive,49.99,7200,3.5,,,0.05,,,,1000.0,64.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14717,Seagate ST4000NC001,internal-hard-drive,140.5,5900,3.5,,,0.035,,,,4000.0,64.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14721,SanDisk EXTREME PRO,internal-hard-drive,299.99,SSD,2.5,,,0.312,,,,960.0,,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14723,Transcend MTS800,internal-hard-drive,125.89,SSD,M.2-2280,,,0.984,,,,128.0,,M.2 SATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14724,Western Digital RE,internal-hard-drive,45.0,7200,3.5,,,0.09,,,,500.0,64.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14726,Intel DC S3710,internal-hard-drive,214.45,SSD,2.5,,,1.072,,,,200.0,,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14729,SanDisk Z400s,internal-hard-drive,214.0,SSD,M.2-2280,,,0.836,,,,256.0,,M.2 SATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14730,Seagate ST6000VN0021,internal-hard-drive,250.0,7200,3.5,,,0.042,,,,6000.0,128.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14750,Toshiba MD04ACA600,internal-hard-drive,434.2,7200,3.5,,,0.072,,,,6000.0,128.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14758,Mushkin SOURCE 2,internal-hard-drive,34.43,SSD,2.5,,,0.143,,,,240.0,,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14762,Samsung PM893,internal-hard-drive,82.0,SSD,2.5,,,0.171,,,,480.0,,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14763,Seagate SkyHawk AI,internal-hard-drive,259.99,7200,3.5,,,0.026,,,,10000.0,256.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14764,Toshiba XG6,internal-hard-drive,55.0,SSD,M.2-2280,,,0.107,,,,512.0,,M.2 PCIe 3.0 X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14775,Seagate FireCuda 520N,internal-hard-drive,187.43,SSD,M.2-2230,,,0.094,,,,2000.0,,M.2 PCIe 4.0 X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14776,Transcend 250H,internal-hard-drive,319.95,SSD,M.2-2280,,,0.08,,,,4000.0,,M.2 PCIe 4.0 X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14777,Western Digital Red SA500,internal-hard-drive,89.99,SSD,M.2-2280,,,0.09,,,,1000.0,,M.2 SATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14778,Nextorage NN5PRO,internal-hard-drive,239.99,SSD,M.2-2280,,,0.24,,,,1000.0,2048.0,M.2 PCIe 4.0 X8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14780,Seagate SkyHawk AI,internal-hard-drive,185.0,7200,3.5,,,0.023,,,,8000.0,256.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14781,Transcend 220S,internal-hard-drive,166.93,SSD,M.2-2280,,,0.083,,,,2000.0,,M.2 PCIe 3.0 X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14782,NEMIX RAM NEMESIS,internal-hard-drive,159.88,SSD,M.2-2280,,,0.08,,,,2000.0,,M.2 PCIe 4.0 X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14783,Seagate SkyHawk Surveillance +Rescue,internal-hard-drive,113.89,5400,3.5,,,0.038,,,,3000.0,256.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14784,Western Digital Purple,internal-hard-drive,154.99,5400,3.5,,,0.026,,,,6000.0,64.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14785,Western Digital SN530,internal-hard-drive,59.99,SSD,M.2-2230,,,0.117,,,,512.0,,M.2 PCIe 3.0 X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14787,Intel 320,internal-hard-drive,253.5,SSD,2.5,,,2.112,,,,120.0,,SATA 3.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14788,OCZ Vertex 4,internal-hard-drive,409.9,SSD,2.5,,,1.601,,,,256.0,,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14789,Seagate Constellation ES,internal-hard-drive,54.0,7200,3.5,,,0.027,,,,2000.0,64.0,SAS 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14790,Kingston SSDNow KC300,internal-hard-drive,128.99,SSD,2.5,,,2.15,,,,60.0,,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14791,Toshiba MG07ACA12TE,internal-hard-drive,290.26,7200,3.5,,,0.024,,,,12000.0,256.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14795,OWC Mercury Electra 6G,internal-hard-drive,22.99,SSD,2.5,,,0.192,,,,120.0,,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14796,Seagate BarraCuda,internal-hard-drive,87.9,7200,3.5,,,0.176,,,,500.0,16.0,SATA 3.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14798,Western Digital Blue,internal-hard-drive,85.79,7200,3.5,,,0.172,,,,500.0,8.0,SATA 3.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14799,Western Digital Red Pro,internal-hard-drive,284.45,7200,3.5,,,0.071,,,,4000.0,128.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14800,Western Digital Purple,internal-hard-drive,152.0,5400,3.5,,,0.025,,,,6000.0,64.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14802,Toshiba N300,internal-hard-drive,269.0,7200,3.5,,,0.045,,,,6000.0,128.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14803,Intel D3-S4510,internal-hard-drive,79.95,SSD,2.5,,,0.333,,,,240.0,,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14804,Lenovo 4XB0W79580,internal-hard-drive,147.99,SSD,M.2-2280,,,0.578,,,,256.0,,M.2 PCIe 3.0 X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14805,Western Digital Ultrastar,internal-hard-drive,49.95,SSD,2.5,,,0.208,,,,240.0,,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14807,Western Digital Red Plus,internal-hard-drive,167.98,5400,3.5,,,0.042,,,,4000.0,64.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14809,Inland Platinum,internal-hard-drive,26.99,SSD,2.5,,,0.105,,,,256.0,,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14810,Verbatim Vi560,internal-hard-drive,33.21,SSD,M.2-2280,,,0.13,,,,256.0,,M.2 SATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14811,Addlink S95,internal-hard-drive,344.44,SSD,M.2-2280,,,0.086,,,,4000.0,,M.2 PCIe 4.0 X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14813,Western Digital VelociRaptor,internal-hard-drive,204.62,10000,3.5,,,1.364,,,,150.0,16.0,SATA 3.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14814,Western Digital RE4-GP,internal-hard-drive,226.43,5900,3.5,,,0.113,,,,2000.0,64.0,SATA 3.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14815,Western Digital Scorpio Black,internal-hard-drive,50.0,7200,2.5,,,0.2,,,,250.0,16.0,SATA 3.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14816,Western Digital Scorpio Blue,internal-hard-drive,24.99,5400,2.5,,,0.1,,,,250.0,8.0,SATA 3.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14821,Western Digital Caviar Black,internal-hard-drive,79.95,7200,3.5,,,0.16,,,,500.0,32.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14829,Toshiba MK7559GSXP,internal-hard-drive,62.5,5400,2.5,,,0.083,,,,750.0,8.0,SATA 3.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14832,Toshiba MQ01ABD032,internal-hard-drive,49.7,5400,2.5,,,0.155,,,,320.0,8.0,SATA 3.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14834,Western Digital Green,internal-hard-drive,81.0,5400,3.5,,,0.081,,,,1000.0,64.0,SATA 3.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14839,Crucial M550,internal-hard-drive,177.77,SSD,M.2-2280,,,1.389,,,,128.0,,M.2 SATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14841,Seagate ST5000NM0024,internal-hard-drive,556.49,7200,3.5,,,0.111,,,,5000.0,128.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14845,Western Digital Red,internal-hard-drive,185.0,5400,3.5,,,0.037,,,,5000.0,64.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14855,Transcend TS512GSSD370S,internal-hard-drive,201.46,SSD,2.5,,,0.393,,,,512.0,,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14857,SanDisk Z400s,internal-hard-drive,220.77,SSD,2.5,,,0.862,,,,256.0,,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14858,SanDisk Z400s,internal-hard-drive,181.44,SSD,M.2-2280,,,1.417,,,,128.0,,M.2 SATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14861,PNY CS2211,internal-hard-drive,89.99,SSD,2.5,,,0.187,,,,480.0,,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14862,Western Digital WDBSLA0010HNC-NRSN,internal-hard-drive,56.99,7200,3.5,,,0.057,,,,1000.0,,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14870,Intel Pro 6000p,internal-hard-drive,108.0,SSD,M.2-2280,,,0.211,,,,512.0,,M.2 PCIe 3.0 X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14871,Transcend SSD230S,internal-hard-drive,38.68,SSD,2.5,,,0.151,,,,256.0,,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14873,Western Digital Purple,internal-hard-drive,279.0,5400,3.5,,,0.028,,,,10000.0,256.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14879,Seagate Enterprise Capacity,internal-hard-drive,120.34,7200,3.5,,,0.12,,,,1000.0,128.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14880,Seagate Enterprise Capacity,internal-hard-drive,74.83,7200,2.5,,,0.075,,,,1000.0,128.0,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14881,Seagate Nytro Enterprise,internal-hard-drive,725.0,SSD,2.5,,,0.378,,,,1920.0,,SATA 6.0 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
