,name,Component,price,type,form_factor,speed,modules,price_per_gb,color,first_word_latency,cas_latency,capacity,cache,interface,mode,max_memory,channels,digital_audio,snr,sample_rate,chipset,Unnamed: 0,bd,dvd,cd,bd_write,dvd_write,cd_write,rpm,noise_level,size,screen_size,resolution,refresh_rate,response_time,panel_type,aspect_ratio,tracking_method,connection_type,max_dpi,hand_orientation,capacity_w,capacity_va,efficiency,wattage,modular,airflow,pwm,channel_wattage,configuration,frequency_response,amount,socket,memory_slots,core_count,core_clock,boost_clock,tdp,graphics,smt,microphone,wireless,enclosure_type,style,switches,backlit,tenkeyless,protocol,psu,side_panel,external_volume,internal_35_bays,memory,length,resolutions,connection,focus_type,os,fov
29,G.Skill Flare X5 32 GB,memory,106.99,,,"5,6000","2,16",3.343,Black,10.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Corsair Vengeance LPX 32 GB,memory,74.98,,,"4,3200","2,16",2.343,Black / Yellow,10.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,TEAMGROUP T-Create Expert 32 GB,memory,102.99,,,"5,6000","2,16",3.218,Black,10.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Corsair Vengeance RGB 32 GB,memory,109.99,,,"5,6000","2,16",3.437,Black,12.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Corsair Vengeance RGB Pro SL 32 GB,memory,86.86,,,"4,3600","2,16",2.714,White / Black,10.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Corsair Dominator Titanium 64 GB,memory,309.99,,,"5,6600","2,32",4.844,White,9.697,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,TEAMGROUP T-Force Vulcan Z 16 GB,memory,35.99,,,"4,3200","2,8",2.249,Black,10.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Silicon Power GAMING 32 GB,memory,53.97,,,"4,3200","2,16",1.687,Black,10.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Corsair Vengeance 32 GB,memory,102.99,,,"5,5200","2,16",3.218,Black,15.385,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,G.Skill Ripjaws S5 32 GB,memory,104.49,,,"5,6000","2,16",3.265,Black,12.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,G.Skill Flare X5 32 GB,memory,96.9,,,"5,6000","2,16",3.028,Black,10.667,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Kingston FURY Beast 16 GB,memory,47.72,,,"4,3200","2,8",2.982,Black,10.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,G.Skill Ripjaws V 16 GB,memory,3914.75,,,"4,4800","2,8",244.672,Black,7.083,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,G.Skill Trident Z5 Neo 64 GB,memory,209.99,,,"5,6000","2,32",3.281,Black / Silver,10.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Corsair Vengeance RGB Pro 256 GB,memory,1055.06,,,"4,3200","8,32",4.121,White,10.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Corsair Vengeance RGB 64 GB,memory,224.99,,,"5,6000","2,32",3.515,Black,10.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Silicon Power Value Gaming 32 GB,memory,97.97,,,"5,6000","2,16",3.062,Black,10.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Corsair Vengeance RGB Pro 16 GB,memory,62.99,,,"4,3200","2,8",3.937,White,10.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Corsair Vengeance LPX 64 GB,memory,129.99,,,"4,3200","2,32",2.031,Black / Yellow,10.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,G.Skill Trident Z5 RGB 32 GB,memory,132.99,,,"5,7200","2,16",4.156,Black,9.444,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Corsair Vengeance RGB 128 GB,memory,439.99,,,"5,5600","4,32",3.437,Black,14.286,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Corsair Vengeance RGB 32 GB,memory,124.99,,,"5,6000","2,16",3.906,Gray,10.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,TEAMGROUP T-Force Vulcan Z 32 GB,memory,59.99,,,"4,3600","2,16",1.875,Black,10.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,G.Skill Trident Z RGB 32 GB,memory,84.99,,,"4,3200","2,16",2.656,Black,10.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,TEAMGROUP T-Force Vulcan Z 32 GB,memory,55.99,,,"4,3200","2,16",1.75,Gray,10.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Kingston FURY Beast 32 GB,memory,119.99,,,"5,6000","2,16",3.75,Black,12.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,G.Skill Ripjaws V 16 GB,memory,43.99,,,"4,3600","2,8",2.749,Black,8.889,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Kingston FURY Beast 16 GB,memory,71.99,,,"5,6000","2,8",4.499,Black,13.333,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,TEAMGROUP T-Force Delta RGB 32 GB,memory,69.98,,,"4,3600","2,16",2.187,White,10.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,G.Skill Trident Z5 RGB 32 GB,memory,112.99,,,"5,6400","2,16",3.531,Black,10.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
